what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1364018797731
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1364018797783
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1364018797818
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1364018797896
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1364018797981
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1364018798046
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1364018798131
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1364018798223
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1364018798309
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1364018798320
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1364018798349
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1364018798487
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1364018798516
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1364018798574
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1364018798575
started,bundle,org.eclipse.help.base,3.4.0.v201002111343,"org.eclipse.help.base",1364018798575
started,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1364018798623
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1364018798742
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1364018798817
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1364018798867
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1364018798891
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1364018798951
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1364018798951
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1364018798971
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1364018799003
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1364018799003
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1364018799051
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1364018799066
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1364018799089
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1364018799127
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1364018799152
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1364018799207
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1364018799305
started,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1364018799305
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1364018799352
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1364018799352
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1364018799555
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1364018799587
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1364018799587
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1364018799591
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1364018799600
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1364018799627
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1364018799663
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1364018799709
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1364018799799
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1364018799802
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,"org.eclipse.team.cvs.core",1364018799836
started,bundle,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.adt",1364018799836
started,bundle,com.android.ide.eclipse.ddms,0.9.9.v201009221407-60953,"com.android.ide.eclipse.ddms",1364018799836
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1364018799837
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1364018799854
os,sysinfo,,,"win32",1364018799858
arch,sysinfo,,,"x86",1364018799858
ws,sysinfo,,,"win32",1364018799858
locale,sysinfo,,,"zh_CN",1364018799858
processors,sysinfo,,,"4",1364018799858
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1364018799858
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1364018799858
java.specification.name,sysinfo,,,"Java Platform API Specification",1364018799858
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1364018799858
java.specification.version,sysinfo,,,"1.6",1364018799858
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1364018799858
java.version,sysinfo,,,"1.6.0_10-rc2",1364018799858
java.vm.info,sysinfo,,,"mixed mode, sharing",1364018799858
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1364018799858
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364018799858
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1364018799858
java.vm.specification.version,sysinfo,,,"1.0",1364018799858
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1364018799858
java.vm.version,sysinfo,,,"11.0-b15",1364018799858
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,"org.eclipse.team.cvs.ui",1364018800071
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1364018800513
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1364018800865
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1364018801754
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1364018802151
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1364018802224
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1364018802973
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1364018803057
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019109271
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019110988
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1364019111433
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,"org.eclipse.ui.views.log",1364019122644
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,"org.eclipse.pde.ui",1364019122957
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364019126088
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1364019131188
opened,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1364019136263
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1364019136447
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364019138536
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1364019138967
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1364019138967
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019138974
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019332229
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019340599
error,log,,,"Failed to load properties file for project 'momo'",1364019440618
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019440754
error,log,,,"Internal Error",1364019441467
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364019443241
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1364019443557
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019447585
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019535910
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019537902
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019764006
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364019766655
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364021466123
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364021468367
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1364021471412
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364021471452
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1364021473658
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364021473715
closed,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1364021473727
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1364021477368
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364021477402
started,bundle,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef",1364021483103
started,bundle,org.eclipse.draw2d,3.5.2.v20091126-1908,"org.eclipse.draw2d",1364021483218
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1364021483539
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1364021483667
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1364021483836
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1364021483896
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1364021484557
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1364021484593
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364021485414
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1364021485418
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1364021485445
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364021485747
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364021485747
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1364021485825
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1364021485835
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1364021485841
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1364021485946
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1364021485969
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1364021486030
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1364021486068
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1364021486071
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1364021486143
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1364021486247
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364021487058
closed,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364021487058
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364021490690
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364021492865
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364043443512
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364043445896
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364043447199
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364043447743
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044518537
opened,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364044536215
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364044536279
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364044539579
started,bundle,org.eclipse.pde.core,3.4.0.v20080903-1700,"org.eclipse.pde.core",1364044542391
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1364044542535
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364044546450
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364044547239
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044558477
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044561828
executed,command,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.applyPatch",1364044561837
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044566669
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044566871
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364044580289
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364044582446
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1364044586828
error,log,,,"Invalid ZIP archive: res/layout/main.xml [in momo]",1364044590277
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044600009
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1364044603808
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1364044620212
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1364044620218
error,log,,,"Invalid ZIP archive: res/layout/main.xml [in momo]",1364044627065
activated,editor,com.android.ide.eclipse.adt,0.9.9.v201009221407-60953,"com.android.ide.eclipse.editors.layout.LayoutEditor",1364044631074
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1364044631111
